"Ps","Scanpath","Scanpath_complex","age","gender","alarm","fire","numeracy","baserate","baserate_avg","true_positive","true_positive_avg","false_alarm","false_alarm_avg","numerical_format","correctness","Wave","Correct_answer","Given_answer","Correct_answer_belief","Bias_GC","Bias_belief","Numeracy_cat"
"a7f4e5407f7dcae2","ABCEDEFGFEDBBABCEDEFGHABDEFG","A:1231,B:716,C:1298,E:51,D:830,E:1250,F:2749,G:1016,F:33,E:66,D:3565,B:34,B:367,A:897,B:565,C:566,E:50,D:4248,E:1783,F:2083,G:3230,H:11311,A:66,B:183,D:2600,E:101,F:130,G:4147",59,"f",4,3,3,0.5,0,0.1,0,0.9,0,"probability","correct","1",0.1001,0.1001,0.1001,0,0,"mid"
"a8573057ca58ec4e","AAEABCBDEDEFGGFGHABBEBECGFEDEDECCHGDBC","A:563,A:3261,E:280,A:1313,B:814,C:1028,B:383,D:1345,E:1246,D:182,E:349,F:1662,G:212,G:1298,F:615,G:1863,H:5767,A:498,B:231,B:1098,E:897,B:515,E:430,C:1230,G:299,F:81,E:118,D:479,E:115,D:49,E:48,C:197,C:665,H:1299,G:531,D:595,B:482,C:2277",34,"f",2,1,3.88,0.15,0.1,0.12,0.5,0.3,0.27,"probability","incorrect","2",0.1711,0.0501,0.0661,-0.533412283673855,-0.41304855005546,"high"
"a8c4c5f1b2315dcc","FGABCDDEFGHACHABFEDBEBC","F:7492,G:332,A:1398,B:748,C:1648,D:281,D:734,E:962,F:999,G:6898,H:8528,A:5799,C:1599,H:5248,A:232,B:2615,F:298,E:350,D:748,B:630,E:568,B:599,C:3333",46,"f",2,2,2.63,0.017,0,0.001,0,0.1,0,"frequency","incorrect","1",1e-04,0.0201,1e-04,2.30319605742049,0,"low"
"a8dc6d4830ec3512","AHAHCCHBBDBDBDCH","A:6898,H:5564,A:2249,H:5499,C:250,C:634,H:1217,B:448,B:432,D:916,B:901,D:749,B:617,D:448,C:4867,H:3768",47,"m",3,1,3.63,0.25,0.1,0.95,0.5,0.76,0.27,"probability","incorrect","2",0.1711,0.6001,0.2941,0.544973617224996,0.235245014965969,"high"
"a9b602ab2fd54659","ABCBDEFGCAABCHHHABCBDDEFFEDDEFHH","A:66,B:1167,C:2370,B:968,D:816,E:1501,F:534,G:3205,C:50,A:349,A:567,B:450,C:1019,H:244,H:348,H:5844,A:917,B:567,C:2150,B:2420,D:1069,D:481,E:19,F:366,F:1150,E:17,D:349,D:932,E:251,F:4691,H:482,H:15897",36,"f",3,3,3.25,0.15,0,0.8,0,0.2,0,"probability","incorrect","1",0.4141,0.8001,0.4141,0.286039039907161,0,"high"
"aa15e3ceb1503768","ABCFGCHDBBDC","A:2130,B:580,C:9944,F:1932,G:2414,C:2168,H:10407,D:1981,B:355,B:109,D:898,C:2269",41,"m",3,2,4.25,0.03,0,0.88,0,0.25,0,"probability","incorrect","1",0.0981,0.8801,0.0981,0.952863013612033,0,"high"
"aaae2db63cf76d5e","BABCDDDEFGH","B:528,A:897,B:431,C:679,D:280,D:337,D:1493,E:746,F:567,G:3059,H:9232",25,"m",4,3,4,0.13,0,0.5,0,0.5,0,"probability","incorrect","1",0.1301,0.5001,0.1301,0.584779557986081,0,"high"
"aab10ddc5c0a6c00","AABCBCHFGCFHDCHABDC","A:3365,A:733,B:795,C:1380,B:1282,C:699,H:11103,F:663,G:948,C:614,F:1698,H:2780,D:715,C:397,H:3196,A:704,B:316,D:766,C:4384",28,"m",2,1,5.38,0.06,0,0.99,0,0.27,0,"frequency","incorrect","1",0.1901,0.0601,0.1901,-0.500107644862704,0,"high"
"ac132be1f284b3e9","HHGGEDEFGCABDBABDECHGFDEFH","H:439,H:15279,G:407,G:569,E:300,D:832,E:51,F:136,G:1355,C:84,A:678,B:236,D:504,B:87,A:716,B:50,D:274,E:67,C:467,H:2535,G:451,F:765,D:620,E:68,F:1692,H:8762",29,"f",2,2,4.13,0.002,0,0.25,0,0.75,0,"frequency","correct","1",0.0011,0.0011,0.0011,0,0,"high"
"ad540d47493702c5","ABDEFEDEFGFFHCBDEC","A:798,B:567,D:484,E:735,F:247,E:83,D:317,E:83,F:65,G:550,F:234,F:1084,H:8168,C:231,B:1471,D:684,E:986,C:2642",29,"m",3,3,3.88,0.27,0,0.27,0,0.27,0,"probability","incorrect","1",0.2701,0.7301,0.2701,0.431857764253337,0,"high"
"ad74a883e9b5c665","GCFHDHG","G:1365,C:1814,F:4689,H:9859,D:4772,H:7294,G:3296",32,"m",3,1,4.88,0.17,0.1,0.1,0.5,0.1,0.27,"probability","incorrect","2",0.1711,0.5001,0.1701,0.465806845006567,-0.00254569592853128,"high"
"afbd17bf5a5f497b","DBACCGFEDBEFCEDABCHHHCGFFGEEDBAHCEFGGFEDECHCFEDBAHHABCHHB","D:304,B:1208,A:541,C:614,C:41,G:358,F:25,E:28,D:839,B:80,E:55,F:391,C:825,E:979,D:4612,A:5079,B:294,C:814,H:784,H:6004,H:829,C:677,G:529,F:410,F:64,G:305,E:860,E:74,D:844,B:1012,A:646,H:3744,C:378,E:121,F:16,G:193,G:63,F:26,E:413,D:132,E:82,C:713,H:658,C:18,F:17,E:383,D:992,B:3216,A:1944,H:1276,H:7563,A:529,B:1328,C:2349,H:1326,H:5691,B:72",45,"m",3,2,4.63,0.3,0,0.1,0,0.1,0,"frequency","correct","1",0.3001,0.3001,0.3001,0,0,"high"
"b0490bc91ab27ad8","AABCDEFFGGHHHABDBBACBDHEDDECA","A:1746,A:1016,B:632,C:982,D:964,E:633,F:748,F:233,G:915,G:1383,H:7979,H:833,H:5232,A:782,B:2749,D:1548,B:416,B:532,A:516,C:665,B:532,D:1332,H:8483,E:49,D:331,D:3299,E:199,C:1416,A:4117",33,"m",3,1,2.5,0.01,0.1,0.9,0.5,0.9,0.27,"frequency","incorrect","2",0.1711,0.0501,0.0101,-0.533412283673855,-1.22892863575846,"low"
"b0fe6021bf80db36","ABBCGFGFEDBCAHABH","A:1212,B:346,B:633,C:1163,G:895,F:847,G:1982,F:1599,E:1149,D:1196,B:615,C:933,A:2314,H:11334,A:483,B:665,H:5298",51,"m",4,2,4.13,0.05,0,0.98,0,0.02,0,"probability","incorrect","1",0.7211,0.0601,0.7211,-1.07912102355818,0,"high"
"b130168a3a7bbed9","EDDGHABDEFGFHGF","E:1096,D:1249,D:2149,G:564,H:3272,A:927,B:1348,D:932,E:881,F:715,G:4233,F:7083,H:4665,G:465,F:4216",36,"f",3,2,3.25,0.06,0.1,0.2,0.5,0.1,0.27,"probability","incorrect","2",0.1711,0.2701,0.1131,0.198274574646351,-0.179787404615645,"high"
"b133918baa729c94","HGACGFEB","H:10916,G:663,A:974,C:550,G:269,F:263,E:457,B:4813",31,"f",3,1,2.75,0.11,0.1,0.15,0.5,0.27,0.27,"probability","incorrect","2",0.1711,0.3401,0.0641,0.298356622391622,-0.426391980022283,"low"
"b16d93924a445b59","ABCCBBDEDEFGFGHAHABDDBABDECA","A:1542,B:1338,C:336,C:1319,B:4121,B:383,D:5417,E:1879,D:392,E:724,F:790,G:1663,F:2499,G:2595,H:7965,A:363,H:6579,A:28,B:491,D:2619,D:704,B:95,A:877,B:109,D:174,E:33,C:15940,A:17541",20,"f",2,2,5.25,0.067,0.1,0.012,0.5,0.1,0.27,"frequency","incorrect","2",0.1711,0.0501,0.0091,-0.533412283673855,-1.27420861722001,"high"
"b19f96bf3b671fdb","ABBCDEFGHFEDBA","A:899,B:330,B:1064,C:2265,D:1182,E:2298,F:1348,G:6282,H:16715,F:49,E:571,D:793,B:1082,A:5668",50,"f",2,1,3.25,0.001,0,0.95,0,0.05,0,"frequency","incorrect","1",0.0191,1e-04,0.0191,-2.28103336724773,0,"high"
